"INDICATOR_NAME","PERIOD_YEAR","PERIOD_MONTH","YTD_TARGET","YTD_ACTUAL","MONTHLY_TARGET","MONTHLY_ACTUAL","ON_TIME","DAYS_ON_TIME"
"one","2011","Jan",0.915,0.908,0.915,0.908,0,18.16
"one","2011","Feb",0.915,0.913,0.915,0.919,1,18.38
"one","2011","Mar",0.915,0.916,0.915,0.92,1,18.4
"one","2011","Apr",0.915,0.913,0.915,0.905,0,18.1
"one","2011","May",0.915,0.913,0.915,0.913,0,18.26
"one","2011","Jun",0.915,0.913,0.915,0.892,0,17.84
"one","2011","Jul",0.915,0.912,0.915,0.906,0,18.12
"one","2011","Aug",0.915,0.914,0.915,0.928,1,18.56
"one","2011","Sep",0.915,0.908,0.915,0.858,0,17.16
"one","2011","Oct",0.915,0.909,0.915,0.914,0,18.28
"one","2011","Nov",0.915,0.909,0.915,0.91,0,18.2
"one","2011","Dec",0.915,0.907,0.915,0.891,0,17.82
"one","2012","Jan",0.915,0.89,0.915,0.89,0,17.8
"one","2012","Feb",0.915,0.89,0.915,0.89,0,17.8
"one","2012","Mar",0.915,0.893,0.915,0.9,0,18
"one","2012","Apr",0.915,0.891,0.915,0.884,0,17.68
"one","2012","May",0.915,0.892,0.915,0.894,0,17.88
"one","2012","Jun",0.915,0.894,0.915,0.903,0,18.06
"one","2012","Jul",0.915,0.892,0.915,0.885,0,17.7
"one","2012","Aug",0.915,0.893,0.915,0.894,0,17.88
"one","2012","Sep",0.915,0.89,0.915,0.866,0,17.32
"one","2012","Oct",0.915,0.888,0.915,0.873,0,17.46
"one","2012","Nov",0.915,0.885,0.915,0.777,0,15.54
"one","2012","Dec",0.915,0.883,0.915,0.907,0,18.14
"one","2013","Jan",0.915,0.868,0.915,0.868,0,17.36
"one","2013","Feb",0.915,0.854,0.915,0.838,0,16.76
"one","2013","Mar",0.915,0.864,0.915,0.885,0,17.7
"one","2013","Apr",0.915,0.861,0.915,0.852,0,17.04
"one","2013","May",0.915,0.86,0.915,0.856,0,17.12
"one","2013","Jun",0.915,0.859,0.915,0.856,0,17.12
"one","2013","Jul",0.915,0.851,0.915,0.807,0,16.14
"one","2013","Aug",0.915,0.845,0.915,0.805,0,16.1
"one","2013","Sep",0.915,0.84,0.915,0.796,0,15.92
"one","2013","Oct",0.915,0.843,0.915,0.866,0,17.32
"one","2013","Nov",0.915,0.845,0.915,0.862,0,17.24
"one","2013","Dec",0.915,0.844,0.915,0.834,0,16.68
"one","2014","Jan",0.915,0.743,0.915,0.743,0,14.86
"one","2014","Feb",0.915,0.738,0.915,0.732,0,14.64
"one","2014","Mar",0.915,0.747,0.915,0.764,0,15.28
"one","2014","Apr",0.915,0.764,0.915,0.814,0,16.28
"one","2014","May",0.915,0.775,0.915,0.785,0,15.7
"one","2014","Jun",0.915,0.77,0.915,0.777,0,15.54
"one","2014","Jul",0.915,0.774,0.915,0.795,0,15.9
"one","2014","Aug",0.915,0.777,0.915,0.799,0,15.98
"one","2014","Sep",0.915,0.784,0.915,0.844,0,16.88
"one","2014","Oct",0.915,0.79,0.915,0.838,0,16.76
"one","2014","Nov",0.915,0.792,0.915,0.811,0,16.22
"one","2014","Dec",0.915,0.787,0.915,0.74,0,14.8
"one","2015","Jan",0.75,0.762,0.75,0.762,1,15.24
"one","2015","Feb",0.75,0.735,0.75,0.707,0,14.14
"one","2015","Mar",0.75,0.74,0.75,0.749,0,14.98
"one","2015","Apr",0.75,0.782,0.75,0.774,1,15.48
"one","2015","May",0.75,0.757,0.75,0.787,1,15.74
"one","2015","Jun",0.75,0.765,0.75,0.807,1,16.14
"one","2015","Jul",0.75,0.761,0.75,0.734,0,14.68
"one","2015","Aug",0.75,0.766,0.75,0.799,1,15.98
"one","2015","Sep",0.75,0.768,0.75,0.787,1,15.74
"one","2015","Oct",0.75,0.763,0.75,0.724,0,14.48
"one","2015","Nov",0.75,0.762,0.75,0.753,1,15.06
"one","2015","Dec",0.75,0.763,0.75,0.764,1,15.28
"one","2016","Jan",0.75,0.771,0.75,0.771,1,15.42
"one","2016","Feb",0.75,0.763,0.75,0.755,1,15.1
"one","2016","Mar",0.75,0.732,0.75,0.678,0,13.56
"one","2016","Apr",0.75,0.729,0.75,0.723,0,14.46
"one","2016","May",0.75,0.737,0.75,0.77,1,15.4
"one","2016","Jun",0.75,0.736,0.75,0.726,0,14.52
"one","2016","Jul",0.75,0.739,0.75,0.761,1,15.22
"one","2016","Aug",0.75,0.741,0.75,0.753,1,15.06
"one","2016","Sep",0.75,0.729,0.75,0.635,0,12.7
"one","2016","Oct",0.75,0.721,0.75,0.648,0,12.96
"one","2016","Nov",0.75,0.7174,0.75,0.6803,0,13.606
"one","2016","Dec",0.75,0.7144,0.75,0.6813,0,13.626
